il,ilce,genel_sira,il_ici_sira,skor,kademe
ADANA,SEYHAN,42,1,"2,043",1
ADANA,ÇUKUROVA,76,2,"1,529",2
ADANA,SARIÇAM,149,3,"0,862",2
ADANA,YÜREĞİR,203,4,"0,596",2
ADANA,CEYHAN,299,5,"0,103",3
ADANA,KOZAN,338,6,"0,016",3
ADANA,POZANTI,422,7,"-0,185",4
ADANA,İMAMOĞLU,583,8,"-0,434",4
ADANA,YUMURTALIK,589,9,"-0,448",4
ADANA,TUFANBEYLİ,651,10,"-0,521",5
ADANA,KARAİSALI,676,11,"-0,546",5
ADANA,KARATAŞ,684,12,"-0,564",5
ADANA,ALADAĞ,818,13,"-0,764",5
ADANA,SAİMBEYLİ,895,14,"-0,946",6
ADANA,FEKE,899,15,"-0,954",6
ADIYAMAN,MERKEZ,215,1,"0,542",2
ADIYAMAN,GÖLBAŞI,392,2,"-0,133",3
ADIYAMAN,BESNİ,586,3,"-0,444",4
ADIYAMAN,KAHTA,642,4,"-0,512",5
ADIYAMAN,ÇELİKHAN,744,5,"-0,631",5
ADIYAMAN,SAMSAT,861,6,"-0,840",6
ADIYAMAN,TUT,908,7,"-0,979",6
ADIYAMAN,SİNCİK,955,8,"-1,202",6
ADIYAMAN,GERGER,971,9,"-1,289",6
AFYONKARAHİSAR,MERKEZ,104,1,"1,178",2
AFYONKARAHİSAR,SANDIKLI,324,2,"0,052",3
AFYONKARAHİSAR,BOLVADİN,358,3,"-0,045",3
AFYONKARAHİSAR,DAZKIRI,372,4,"-0,088",3
AFYONKARAHİSAR,DİNAR,391,5,"-0,132",3
AFYONKARAHİSAR,EMİRDAĞ,421,6,"-0,183",4
AFYONKARAHİSAR,ÇAY,512,7,"-0,328",4
AFYONKARAHİSAR,SULTANDAĞI,530,8,"-0,368",4
AFYONKARAHİSAR,İSCEHİSAR,550,9,"-0,392",4
AFYONKARAHİSAR,BAŞMAKÇI,574,10,"-0,427",4
AFYONKARAHİSAR,ŞUHUT,623,11,"-0,488",4
AFYONKARAHİSAR,EVCİLER,652,12,"-0,525",5
AFYONKARAHİSAR,İHSANİYE,709,13,"-0,592",5
AFYONKARAHİSAR,BAYAT,732,14,"-0,620",5
AFYONKARAHİSAR,SİNANPAŞA,740,15,"-0,627",5
AFYONKARAHİSAR,KIZILÖREN,750,16,"-0,640",5
AFYONKARAHİSAR,HOCALAR,821,17,"-0,772",5
AFYONKARAHİSAR,ÇOBANLAR,837,18,"-0,801",5
AĞRI,MERKEZ,451,1,"-0,231",4
AĞRI,DOĞUBAYAZIT,754,2,"-0,647",5
AĞRI,ELEŞKİRT,913,3,"-1,013",6
AĞRI,PATNOS,923,4,"-1,050",6
AĞRI,TAŞLIÇAY,942,5,"-1,124",6
AĞRI,DİYADİN,947,6,"-1,147",6
AĞRI,TUTAK,961,7,"-1,254",6
AĞRI,HAMUR,967,8,"-1,275",6
AMASYA,MERKEZ,190,1,"0,651",2
AMASYA,MERZİFON,213,2,"0,547",2
AMASYA,SULUOVA,320,3,"0,061",3
AMASYA,GÜMÜŞHACIKÖY,474,4,"-0,269",4
AMASYA,TAŞOVA,625,5,"-0,490",4
AMASYA,HAMAMÖZÜ,763,6,"-0,665",5
AMASYA,GÖYNÜCEK,836,7,"-0,798",5
ANKARA,ÇANKAYA,2,1,"6,901",1
ANKARA,YENİMAHALLE,5,2,"4,481",1
ANKARA,ALTINDAĞ,22,3,"2,528",1
ANKARA,ETİMESGUT,47,4,"1,957",1
ANKARA,GÖLBAŞI,57,5,"1,790",1
ANKARA,KAHRAMANKAZAN,75,6,"1,538",2
ANKARA,KEÇİÖREN,89,7,"1,365",2
ANKARA,SİNCAN,125,8,"1,050",2
ANKARA,MAMAK,165,9,"0,779",2
ANKARA,AKYURT,174,10,"0,705",2
ANKARA,POLATLI,206,11,"0,581",2
ANKARA,ELMADAĞ,229,12,"0,462",2
ANKARA,PURSAKLAR,231,13,"0,447",2
ANKARA,ÇUBUK,261,14,"0,298",3
ANKARA,BEYPAZARI,264,15,"0,269",3
ANKARA,ŞEREFLİKOÇHİSAR,298,16,"0,115",3
ANKARA,AYAŞ,330,17,"0,032",3
ANKARA,KIZILCAHAMAM,335,18,"0,022",3
ANKARA,NALLIHAN,378,19,"-0,102",3
ANKARA,KALECİK,525,20,"-0,359",4
ANKARA,EVREN,616,21,"-0,478",4
ANKARA,GÜDÜL,630,22,"-0,493",4
ANKARA,ÇAMLIDERE,654,23,"-0,526",5
ANKARA,HAYMANA,695,24,"-0,578",5
ANKARA,BALA,725,25,"-0,611",5
ANTALYA,MURATPAŞA,15,1,"3,173",1
ANTALYA,KONYAALTI,27,2,"2,465",1
ANTALYA,ALANYA,64,3,"1,676",1
ANTALYA,MANAVGAT,74,4,"1,538",2
ANTALYA,KEMER,80,5,"1,501",2
ANTALYA,KEPEZ,88,6,"1,392",2
ANTALYA,DÖŞEMEALTI,100,7,"1,216",2
ANTALYA,SERİK,152,8,"0,852",2
ANTALYA,KUMLUCA,219,9,"0,515",2
ANTALYA,AKSU,225,10,"0,476",2
ANTALYA,FİNİKE,258,11,"0,315",3
ANTALYA,KAŞ,276,12,"0,203",3
ANTALYA,DEMRE,280,13,"0,180",3
ANTALYA,GAZİPAŞA,289,14,"0,152",3
ANTALYA,KORKUTELİ,307,15,"0,081",3
ANTALYA,ELMALI,401,16,"-0,150",3
ANTALYA,AKSEKİ,419,17,"-0,182",4
ANTALYA,İBRADI,471,18,"-0,264",4
ANTALYA,GÜNDOĞMUŞ,848,19,"-0,815",5
ARTVİN,MERKEZ,143,1,"0,913",2
ARTVİN,HOPA,220,2,"0,502",2
ARTVİN,ARHAVİ,273,3,"0,222",3
ARTVİN,MURGUL,408,4,"-0,165",3
ARTVİN,YUSUFELİ,487,5,"-0,290",4
ARTVİN,BORÇKA,488,6,"-0,290",4
ARTVİN,ŞAVŞAT,559,7,"-0,405",4
ARTVİN,KEMALPAŞA,581,8,"-0,432",4
ARTVİN,ARDANUÇ,599,9,"-0,454",4
AYDIN,EFELER,79,1,"1,518",2
AYDIN,KUŞADASI,81,2,"1,495",2
AYDIN,DİDİM,155,3,"0,842",2
AYDIN,SÖKE,160,4,"0,821",2
AYDIN,NAZİLLİ,170,5,"0,756",2
AYDIN,ÇİNE,365,6,"-0,070",3
AYDIN,İNCİRLİOVA,373,7,"-0,091",3
AYDIN,KUYUCAK,447,8,"-0,224",4
AYDIN,SULTANHİSAR,473,9,"-0,265",4
AYDIN,GERMENCİK,482,10,"-0,282",4
AYDIN,BUHARKENT,490,11,"-0,293",4
AYDIN,YENİPAZAR,492,12,"-0,296",4
AYDIN,KÖŞK,504,13,"-0,306",4
AYDIN,KARACASU,568,14,"-0,422",4
AYDIN,BOZDOĞAN,644,15,"-0,514",5
AYDIN,KOÇARLI,662,16,"-0,531",5
AYDIN,KARPUZLU,778,17,"-0,693",5
BALIKESİR,ALTIEYLÜL,96,1,"1,245",2
BALIKESİR,KARESİ,115,2,"1,108",2
BALIKESİR,EDREMİT,121,3,"1,072",2
BALIKESİR,BANDIRMA,122,4,"1,072",2
BALIKESİR,AYVALIK,144,5,"0,907",2
BALIKESİR,BURHANİYE,205,6,"0,586",2
BALIKESİR,MARMARA,237,7,"0,405",2
BALIKESİR,ERDEK,248,8,"0,352",3
BALIKESİR,GÖNEN,254,9,"0,326",3
BALIKESİR,SUSURLUK,272,10,"0,225",3
BALIKESİR,GÖMEÇ,317,11,"0,062",3
BALIKESİR,BİGADİÇ,395,12,"-0,138",3
BALIKESİR,MANYAS,501,13,"-0,303",4
BALIKESİR,SAVAŞTEPE,572,14,"-0,426",4
BALIKESİR,DURSUNBEY,600,15,"-0,456",4
BALIKESİR,HAVRAN,606,16,"-0,471",4
BALIKESİR,SINDIRGI,614,17,"-0,477",4
BALIKESİR,İVRİNDİ,620,18,"-0,483",4
BALIKESİR,KEPSUT,665,19,"-0,536",5
BALIKESİR,BALYA,716,20,"-0,600",5
BİLECİK,MERKEZ,159,1,"0,821",2
BİLECİK,BOZÜYÜK,201,2,"0,608",2
BİLECİK,SÖĞÜT,300,3,"0,102",3
BİLECİK,OSMANELİ,402,4,"-0,154",3
BİLECİK,PAZARYERİ,497,5,"-0,301",4
BİLECİK,İNHİSAR,579,6,"-0,430",4
BİLECİK,GÖLPAZARI,587,7,"-0,446",4
BİLECİK,YENİPAZAR,632,8,"-0,501",5
BİNGÖL,MERKEZ,274,1,"0,214",3
BİNGÖL,YAYLADERE,593,2,"-0,451",4
BİNGÖL,KİĞI,649,3,"-0,517",5
BİNGÖL,GENÇ,753,4,"-0,646",5
BİNGÖL,SOLHAN,799,5,"-0,730",5
BİNGÖL,YEDİSU,902,6,"-0,968",6
BİNGÖL,KARLIOVA,915,7,"-1,017",6
BİNGÖL,ADAKLI,932,8,"-1,097",6
BİTLİS,MERKEZ,359,1,"-0,046",3
BİTLİS,TATVAN,388,2,"-0,128",3
BİTLİS,AHLAT,786,3,"-0,706",5
BİTLİS,ADİLCEVAZ,854,4,"-0,832",6
BİTLİS,GÜROYMAK,910,5,"-1,002",6
BİTLİS,HİZAN,936,6,"-1,103",6
BİTLİS,MUTKİ,963,7,"-1,257",6
BOLU,MERKEZ,83,1,"1,480",2
BOLU,GEREDE,333,2,"0,024",3
BOLU,YENİÇAĞA,374,3,"-0,091",3
BOLU,MENGEN,464,4,"-0,245",4
BOLU,SEBEN,571,5,"-0,425",4
BOLU,GÖYNÜK,585,6,"-0,441",4
