il_kodu,il_adi,ilce_adi,sandik_sayisi,secmen_sayisi
1,ADANA,ALADAĞ,51,12.330
1,ADANA,CEYHAN,357,112.582
1,ADANA,ÇUKUROVA,790,287.869
1,ADANA,FEKE,60,12.788
1,ADANA,İMAMOĞLU,67,20.211
1,ADANA,KARAİSALI,84,17.312
1,ADANA,KARATAŞ,72,17.032
1,ADANA,KOZAN,314,97.411
1,ADANA,POZANTI,52,15.274
1,ADANA,SAİMBEYLİ,44,10.729
1,ADANA,SARIÇAM,424,147.569
1,ADANA,SEYHAN,1.565,562.326
1,ADANA,TUFANBEYLİ,59,12.827
1,ADANA,YUMURTALIK,50,13.769
1,ADANA,YÜREĞİR,784,273.305
2,ADIYAMAN,MERKEZ,608,186.863
2,ADIYAMAN,BESNİ,197,52.352
2,ADIYAMAN,ÇELİKHAN,53,10.320
2,ADIYAMAN,GERGER,63,10.685
2,ADIYAMAN,GÖLBAŞI,112,33.496
2,ADIYAMAN,KAHTA,313,83.579
2,ADIYAMAN,SAMSAT,24,4.291
2,ADIYAMAN,SİNCİK,53,10.973
2,ADIYAMAN,TUT,29,6.744
3,AFYONKARAHİSAR,MERKEZ,652,218.736
3,AFYONKARAHİSAR,BAŞMAKÇI,30,7.494
3,AFYONKARAHİSAR,BAYAT,24,5.701
3,AFYONKARAHİSAR,BOLVADİN,126,31.498
3,AFYONKARAHİSAR,ÇAY,80,23.230
3,AFYONKARAHİSAR,ÇOBANLAR,34,9.488
3,AFYONKARAHİSAR,DAZKIRI,35,8.786
3,AFYONKARAHİSAR,DİNAR,151,35.565
3,AFYONKARAHİSAR,EMİRDAĞ,142,32.693
3,AFYONKARAHİSAR,EVCİLER,20,5.594
3,AFYONKARAHİSAR,HOCALAR,28,6.979
3,AFYONKARAHİSAR,İHSANİYE,79,20.232
3,AFYONKARAHİSAR,İSCEHİSAR,56,17.568
3,AFYONKARAHİSAR,KIZILÖREN,8,1.847
3,AFYONKARAHİSAR,SANDIKLI,149,41.723
3,AFYONKARAHİSAR,SİNANPAŞA,121,29.626
3,AFYONKARAHİSAR,SULTANDAĞI,48,12.010
3,AFYONKARAHİSAR,ŞUHUT,97,27.393
4,AĞRI,MERKEZ,316,90.838
4,AĞRI,DİYADİN,105,22.975
4,AĞRI,DOĞUBAYAZIT,245,70.364
4,AĞRI,ELEŞKİRT,96,19.536
4,AĞRI,HAMUR,53,9.344
4,AĞRI,PATNOS,236,65.231
4,AĞRI,TAŞLIÇAY,54,11.465
4,AĞRI,TUTAK,99,16.931
5,AMASYA,MERKEZ,357,107.055
5,AMASYA,GÖYNÜCEK,48,7.950
5,AMASYA,GÜMÜŞHACIKÖY,83,18.246
5,AMASYA,HAMAMÖZÜ,22,2.979
5,AMASYA,MERZİFON,218,58.663
5,AMASYA,SULUOVA,134,36.530
5,AMASYA,TAŞOVA,108,25.221
